סמל ועדה,ברזל,שם ישוב,סמל ישוב,קלפי,ריכוז,שופט,בזב,מצביעים,פסולים,כשרים,אמת,ג,ודעם,ז,זכ,זן,זץ,טב,י,יז,ינ,יף,יק,כ,כי,כף,ל,מחל,מרצ,נ,נך,נץ,פה,ףז,צ,צן,ץ,ק,קך,קץ,רק,שס
18,9800,אבו עבדון (שבט),958,1,1,0,139,47,1,46,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5,1566,אדירים,113,1,1,0,230,191,0,191,2,8,0,0,0,0,1,13,0,1,0,0,0,0,0,9,2,84,0,0,0,0,9,0,0,0,0,0,0,0,0,62
3,1117,אור הגנוז,1294,1,1,0,272,183,1,182,0,81,0,0,0,0,0,2,0,0,0,0,0,0,0,21,0,21,0,0,0,0,2,0,0,0,0,0,0,0,0,55
3,1278,אורטל,4013,1,1,0,247,180,0,180,24,1,0,2,0,0,7,9,0,1,0,0,0,0,0,1,5,15,11,0,0,0,102,0,0,0,0,0,0,0,0,2
17,9048,אחווה,1157,1,1,0,188,146,0,146,10,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,24,10,2,0,0,84,0,0,0,0,0,0,0,0,3
17,9050,איבים,338,1,1,0,107,24,0,24,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,1,13,0,0,0,0,3,0,0,0,0,0,0,1,0,0
17,9052,אלומה,1145,1,2,0,322,278,1,277,0,81,0,0,0,0,2,6,0,0,0,0,0,0,0,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,175
4,1366,אלומות,330,1,1,0,303,208,0,208,48,1,0,0,0,0,0,6,0,0,0,0,0,0,0,1,5,23,29,0,0,0,94,0,0,0,0,0,0,0,0,1
9,4164,אלוני יצחק,868,1,2,0,127,28,0,28,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,4,4,0,0,0,13,0,0,0,0,0,0,0,0,0
17,9053,אליאב,1365,1,1,0,198,166,0,166,27,2,1,0,0,0,0,49,1,0,0,0,0,0,0,0,0,12,5,0,0,0,68,0,0,0,0,1,0,0,0,0
2,1049,אלמוג,3556,1,1,0,198,128,1,127,30,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7,18,11,0,0,0,55,0,0,0,0,0,0,0,0,0
4,1393,אמנון,1253,1,1,0,268,197,0,197,22,3,0,0,0,0,1,16,0,1,0,0,0,0,0,3,15,74,10,0,0,0,44,0,0,0,0,0,0,0,2,6
17,9055,אמציה,23,1,1,0,195,143,0,143,6,2,0,0,0,0,6,57,0,0,0,0,0,0,0,9,1,30,1,0,0,0,29,0,0,0,0,0,0,0,0,2
18,9321,אשל הנשיא,2021,1,1,0,116,75,0,75,14,1,0,0,0,0,0,9,0,0,0,0,0,0,0,1,3,15,3,0,0,0,29,0,0,0,0,0,0,0,0,0
17,9062,בית גוברין,619,1,1,0,288,225,1,224,44,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,9,34,0,0,0,130,0,1,0,0,0,0,0,0,0
5,1851,בית זיד,353,1,4,0,114,74,5,69,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,40,0,0,0,0,1,0,0,1,1
13,6274,בית עובד,202,1,1,0,249,190,0,190,17,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,6,12,28,0,0,0,122,0,0,0,0,0,0,0,0,0
18,9324,ברוש,2060,1,1,0,331,254,0,254,44,0,0,0,0,0,1,16,0,0,0,0,0,0,0,5,7,125,2,0,0,0,32,0,0,0,0,0,0,0,0,22
17,9074,גברעם,342,1,1,0,318,234,0,234,43,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,18,26,12,0,0,0,124,0,0,0,0,1,0,0,0,3
5,1571,גדעונה,442,1,1,0,291,201,2,199,21,5,0,0,0,0,0,7,0,0,0,0,0,0,0,8,10,93,3,0,0,0,36,0,0,0,0,0,0,0,0,16
13,6098,גיבתון,196,1,1,0,260,207,0,207,27,2,1,0,0,0,2,9,0,0,0,0,0,0,0,2,8,23,23,0,0,0,110,0,0,0,0,0,0,0,0,0
2,1051,גלגל,3606,1,1,0,152,89,1,88,5,0,0,1,0,0,1,3,0,0,0,0,0,0,0,4,8,29,5,0,0,0,30,0,0,0,0,0,0,0,0,2
13,6275,גן שורק,311,1,1,0,265,202,0,202,10,0,1,0,0,0,4,10,0,0,0,0,0,0,0,0,13,35,14,0,0,0,114,0,1,0,0,0,0,0,0,0
5,1575,דבורה,146,1,1,0,230,165,0,165,24,0,1,0,0,0,0,6,0,1,0,0,0,0,0,2,6,35,3,0,0,0,83,0,0,1,0,0,0,0,0,3
5,1485,דברת,407,1,1,0,313,217,1,216,28,1,0,0,0,0,0,4,0,0,0,0,1,0,0,1,9,14,11,0,0,0,144,0,0,0,0,0,0,0,0,3
3,1127,דישון,2063,1,1,0,295,179,0,179,12,0,0,0,0,0,3,14,0,0,0,0,0,0,0,5,10,86,0,0,0,0,30,0,0,0,0,0,0,0,0,19
18,9241,הר עמשא,1261,1,1,0,107,70,0,70,10,0,1,0,0,0,2,5,0,1,0,0,0,0,0,1,6,9,14,0,0,0,21,0,0,0,0,0,0,0,0,0
17,9080,ורדון,1133,1,1,0,218,154,1,153,11,1,0,0,0,0,6,10,0,0,0,0,0,0,0,3,5,46,15,0,0,0,41,0,0,0,0,0,0,0,0,15
17,9082,זוהר,44,1,1,0,265,199,0,199,6,8,0,0,0,0,6,10,0,0,0,0,0,0,0,1,3,119,1,0,0,0,23,0,0,0,0,0,0,0,0,22
3,1129,חזון,1047,1,1,0,255,211,0,211,3,9,0,0,0,0,5,16,0,0,0,0,0,0,0,4,3,130,2,0,0,0,11,0,0,0,0,0,0,0,0,28
4,1401,טפחות,1214,1,1,0,245,199,0,199,1,2,0,0,0,0,0,81,0,0,0,0,0,0,0,12,1,84,0,0,0,0,1,0,1,0,0,0,0,0,0,16
18,9330,יושיביה,803,1,1,0,334,265,1,264,3,3,0,0,0,0,1,29,0,0,0,0,0,0,0,23,1,93,0,0,0,0,9,0,0,0,0,0,0,0,0,102
3,1132,כדיתה,1338,1,1,0,128,64,1,63,3,4,0,0,0,0,0,6,0,0,0,0,0,0,0,3,0,24,11,0,0,0,11,0,1,0,0,0,0,0,0,0
3,1207,כורזים,1252,1,1,0,339,225,0,225,32,5,1,0,0,0,2,10,0,0,0,0,0,0,0,1,11,26,32,0,0,0,105,0,0,0,0,0,0,0,0,0
18,9858,כחלה,1367,1,1,0,243,176,6,170,0,0,55,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,9,0,0,0,101,0,0,0,0,0,0,0,2,0
4,1402,כלנית,1229,1,1,0,186,154,0,154,2,4,0,0,0,0,1,17,0,0,0,0,0,0,0,5,1,105,0,0,0,0,1,0,0,0,0,0,0,0,1,17
5,1920,כפר גדעון,106,1,2,0,182,140,0,140,5,61,0,0,0,0,2,8,0,0,0,0,0,0,0,3,2,29,0,0,0,0,9,0,0,0,0,0,0,0,0,21
17,9101,כפר סילבר,107,1,1,0,97,35,0,35,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,6,1,0,0,0,23,0,0,0,0,0,0,0,0,0
3,1135,כפר שמאי,605,1,1,0,334,244,2,242,6,11,0,0,0,0,2,31,0,2,0,0,0,0,0,24,1,101,6,0,0,0,16,0,0,0,0,0,0,0,0,42
17,9103,כרמי קטיף,1374,1,1,0,208,180,0,180,0,0,0,0,0,0,1,166,0,0,0,0,0,0,0,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1
18,9242,כרמל,3656,1,1,0,263,204,0,204,0,5,0,0,0,0,0,153,0,0,0,0,0,0,0,18,0,26,1,0,0,0,1,0,0,0,0,0,0,0,0,0
13,6276,מחנה הילה,1411,1,1,0,122,90,0,90,3,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,4,10,10,0,0,0,51,0,0,0,0,0,0,0,0,0
5,1922,מחנה יהודית,1413,1,1,0,131,91,1,90,3,0,0,0,0,0,0,11,0,0,0,0,0,0,0,1,2,22,2,0,0,0,46,0,0,0,0,0,0,0,0,3
18,10014,מחנה יפה,1415,1,1,0,217,147,1,146,7,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,1,36,1,0,0,0,79,0,0,0,0,0,0,0,1,0
17,9107,מחנה מרים,1414,1,1,0,100,67,0,67,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,1,14,5,0,0,0,37,0,0,0,0,0,0,0,0,2
13,6425,מחנה תל נוף,1412,1,1,0,176,110,0,110,9,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,7,26,5,0,0,0,56,0,0,0,0,0,0,0,0,0
4,1437,מיצר,4019,1,1,0,123,94,0,94,9,1,0,0,0,0,3,5,0,0,0,0,0,0,0,3,7,8,13,0,0,0,45,0,0,0,0,0,0,0,0,0
18,9334,מלילות,2044,1,1,0,259,202,0,202,4,1,0,0,0,0,3,18,0,0,0,0,0,0,0,26,7,115,0,0,0,0,8,0,0,0,0,0,0,0,0,20
18,9243,מעון,3657,1,1,0,299,220,0,220,1,3,0,0,0,0,0,161,0,0,0,0,0,0,0,43,1,9,0,0,0,0,1,0,0,0,0,0,0,0,0,1
4,1416,מצפה,58,1,1,0,136,94,0,94,9,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,5,20,5,0,0,0,53,0,0,0,0,0,0,0,0,0
3,1139,מרגליות,843,1,1,0,335,197,0,197,54,2,0,0,0,0,2,8,0,0,0,0,0,0,0,7,4,57,6,0,0,0,43,0,0,0,0,0,2,0,3,9
18,9231,מרחב עם,1340,1,1,0,185,157,0,157,3,1,0,1,0,0,0,103,0,0,0,0,0,0,0,14,1,18,0,0,0,0,4,1,0,0,0,0,0,0,0,11
2,1028,נגוהות,3724,1,1,0,139,123,0,123,0,0,0,0,0,0,0,79,0,0,0,0,0,0,0,33,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,1
5,1656,נווה איתן,296,1,3,0,186,117,0,117,31,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,3,9,14,0,0,0,53,0,0,0,0,0,0,0,0,2
18,9245,נווה זוהר,1057,1,1,0,56,35,0,35,3,0,2,0,0,0,0,3,0,0,0,0,0,0,0,4,0,9,2,0,0,0,10,0,0,0,0,0,1,0,0,1
9,3748,נווה ים,312,1,2,0,209,162,0,162,15,0,0,0,0,0,0,10,0,0,0,0,0,0,0,4,7,47,14,0,0,0,64,0,0,0,0,0,0,0,0,1
17,9119,נועם,15,1,1,0,308,228,1,227,1,4,0,0,0,0,2,8,0,0,0,0,0,0,0,4,1,158,0,0,0,0,13,0,0,0,0,0,0,0,0,36
5,1607,נורית,833,1,1,0,106,87,0,87,1,0,0,0,0,0,0,8,0,0,0,0,0,0,0,6,5,27,8,0,0,0,31,0,0,0,0,0,0,0,0,1
17,9120,נחל עוז,844,1,1,0,345,236,3,233,69,0,0,0,1,0,2,3,0,0,0,0,0,0,0,0,9,13,22,0,0,0,113,0,0,0,0,0,0,0,0,1
4,1442,נטור,4014,1,1,0,242,182,2,180,13,0,0,0,0,0,2,52,0,0,0,0,0,0,0,28,6,20,9,0,0,0,45,0,0,2,0,0,0,0,0,3
17,9122,נטע,1369,1,1,0,221,192,1,191,0,2,0,0,0,0,0,151,0,0,0,0,0,0,0,28,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,3
18,9902,עטאוונה (שבט),969,1,1,0,112,44,0,44,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0
3,1291,עין זיוון,4503,1,1,0,272,183,0,183,11,0,0,0,0,0,0,6,0,0,0,0,0,1,0,0,13,16,26,0,0,0,106,1,0,3,0,0,0,0,0,0
3,1292,עין קנייא,4502,1,2,0,139,34,0,34,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,12,1,0,0,0,14,0,0,0,0,0,0,0,1,2
3,1142,עמוקה,1212,1,1,0,139,103,1,102,9,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,3,12,18,0,0,0,51,0,0,0,0,0,0,0,0,1
2,727,עמיחי,3824,1,1,0,71,68,0,68,0,2,1,0,0,0,0,18,0,0,0,0,0,0,0,27,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,10
18,9378,פדויים,750,1,1,0,332,240,0,240,10,9,0,0,0,0,23,28,0,0,0,0,0,0,0,15,6,100,0,0,0,0,29,0,0,0,0,0,0,0,0,20
4,1385,פוריה - כפר עבודה,1104,1,1,0,266,174,0,174,4,4,0,0,0,0,0,9,0,0,0,0,0,0,0,2,1,110,0,0,0,0,30,0,0,0,0,0,0,0,4,10
3,1144,צבעון,1213,1,2,0,150,120,2,118,8,1,1,1,1,0,1,7,0,1,0,0,0,0,0,0,5,8,49,0,0,0,35,0,0,0,0,0,0,0,0,0
17,9141,קוממיות,766,1,3,0,242,141,1,140,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
3,1294,קלע,4024,1,1,0,214,140,0,140,12,0,0,0,0,0,0,7,0,2,0,0,0,1,0,0,16,35,8,0,0,0,58,0,1,0,0,0,0,0,0,0
