שם ישוב,סמל ישוב,בזב,מצביעים,פסולים,כשרים,אמת,ג,ודעם,ז,זכ,זן,זץ,טב,י,יז,ינ,יף,יק,כ,כי,כף,ל,מחל,מרצ,נ,נך,נץ,פה,ףז,צ,צן,ץ,ק,קך,קץ,רק,שס
אבו עבדון שבט,958,139,47,1,46,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
אדירים,113,230,191,0,191,2,8,0,0,0,0,1,13,0,1,0,0,0,0,0,9,2,84,0,0,0,0,9,0,0,0,0,0,0,0,0,62
אור הגנוז,1294,272,183,1,182,0,81,0,0,0,0,0,2,0,0,0,0,0,0,0,21,0,21,0,0,0,0,2,0,0,0,0,0,0,0,0,55
אורטל,4013,247,180,0,180,24,1,0,2,0,0,7,9,0,1,0,0,0,0,0,1,5,15,11,0,0,0,102,0,0,0,0,0,0,0,0,2
אחווה,1157,188,146,0,146,10,2,0,0,0,0,0,3,0,0,0,0,0,0,0,0,8,24,10,2,0,0,84,0,0,0,0,0,0,0,0,3
איבים,338,107,24,0,24,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,1,13,0,0,0,0,3,0,0,0,0,0,0,1,0,0
אלומה,1145,322,278,1,277,0,81,0,0,0,0,2,6,0,0,0,0,0,0,0,2,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,175
אלומות,330,303,208,0,208,48,1,0,0,0,0,0,6,0,0,0,0,0,0,0,1,5,23,29,0,0,0,94,0,0,0,0,0,0,0,0,1
אלוני יצחק,868,127,28,0,28,2,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,4,4,0,0,0,13,0,0,0,0,0,0,0,0,0
אליאב,1365,198,166,0,166,27,2,1,0,0,0,0,49,1,0,0,0,0,0,0,0,0,12,5,0,0,0,68,0,0,0,0,1,0,0,0,0
אלמוג,3556,198,128,1,127,30,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7,18,11,0,0,0,55,0,0,0,0,0,0,0,0,0
אמנון,1253,268,197,0,197,22,3,0,0,0,0,1,16,0,1,0,0,0,0,0,3,15,74,10,0,0,0,44,0,0,0,0,0,0,0,2,6
אמציה,23,195,143,0,143,6,2,0,0,0,0,6,57,0,0,0,0,0,0,0,9,1,30,1,0,0,0,29,0,0,0,0,0,0,0,0,2
אשל הנשיא,2021,116,75,0,75,14,1,0,0,0,0,0,9,0,0,0,0,0,0,0,1,3,15,3,0,0,0,29,0,0,0,0,0,0,0,0,0
בית גוברין,619,288,225,1,224,44,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,0,9,34,0,0,0,130,0,1,0,0,0,0,0,0,0
בית זיד,353,114,74,5,69,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,40,0,0,0,0,1,0,0,1,1
בית עובד,202,249,190,0,190,17,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,6,12,28,0,0,0,122,0,0,0,0,0,0,0,0,0
ברוש,2060,331,254,0,254,44,0,0,0,0,0,1,16,0,0,0,0,0,0,0,5,7,125,2,0,0,0,32,0,0,0,0,0,0,0,0,22
גברעם,342,318,234,0,234,43,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,18,26,12,0,0,0,124,0,0,0,0,1,0,0,0,3
גדעונה,442,291,201,2,199,21,5,0,0,0,0,0,7,0,0,0,0,0,0,0,8,10,93,3,0,0,0,36,0,0,0,0,0,0,0,0,16
גיבתון,196,260,207,0,207,27,2,1,0,0,0,2,9,0,0,0,0,0,0,0,2,8,23,23,0,0,0,110,0,0,0,0,0,0,0,0,0
גלגל,3606,152,89,1,88,5,0,0,1,0,0,1,3,0,0,0,0,0,0,0,4,8,29,5,0,0,0,30,0,0,0,0,0,0,0,0,2
גן שורק,311,265,202,0,202,10,0,1,0,0,0,4,10,0,0,0,0,0,0,0,0,13,35,14,0,0,0,114,0,1,0,0,0,0,0,0,0
דבורה,146,230,165,0,165,24,0,1,0,0,0,0,6,0,1,0,0,0,0,0,2,6,35,3,0,0,0,83,0,0,1,0,0,0,0,0,3
דברת,407,313,217,1,216,28,1,0,0,0,0,0,4,0,0,0,0,1,0,0,1,9,14,11,0,0,0,144,0,0,0,0,0,0,0,0,3
דישון,2063,295,179,0,179,12,0,0,0,0,0,3,14,0,0,0,0,0,0,0,5,10,86,0,0,0,0,30,0,0,0,0,0,0,0,0,19
