סמל ועדה,שם ישוב,סמל ישוב,בזב,מצביעים,פסולים,כשרים,אמת,ג,ודעם,ז,זכ,זן,זץ,טב,י,יז,ינ,יף,יק,כ,כי,כף,ל,מחל,מרצ,נ,נך,נץ,פה,ףז,צ,צן,ץ,ק,קך,קץ,רק,שס
1,ירושלים,3000,241455,150225,1002,149223,5199,36105,1768,22,19,0,77,13642,12,59,25,11,25,47,13,5023,4520,35293,5421,29,13,0,18140,43,49,6,17,33,17,16,41,23538
2,אדורה,3759,246,190,0,190,2,1,1,0,0,0,2,64,0,0,0,0,0,0,0,23,9,51,1,0,0,0,32,0,0,0,0,0,0,0,0,4
2,אורה,780,424,315,0,315,18,2,0,0,0,0,53,18,0,1,0,0,0,0,0,10,8,78,11,0,0,0,92,0,0,0,0,0,0,0,0,24
2,אלון שבות,3604,1511,1119,3,1116,15,17,0,0,0,0,1,797,0,0,0,0,0,0,0,59,9,161,6,0,1,0,39,0,1,2,0,0,0,0,0,8
2,אלמוג,3556,198,128,1,127,30,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,7,18,11,0,0,0,55,0,0,0,0,0,0,0,0,0
2,אפרת,3650,4454,3306,15,3291,40,45,0,1,0,0,1,1954,0,4,0,1,0,0,0,203,31,778,8,0,0,0,186,5,1,0,0,0,0,1,0,32
2,אשתאול,740,745,592,4,588,17,15,1,0,0,0,44,33,0,0,0,0,0,0,0,17,8,262,26,0,0,0,76,0,0,0,0,0,0,0,0,89
2,בית אל,3574,1352,1085,4,1081,2,33,0,0,0,0,0,730,0,1,0,0,0,0,0,147,0,140,0,0,0,0,3,0,0,0,0,0,0,0,0,25
2,בית הערבה,3645,153,126,0,126,5,0,0,0,0,0,0,21,0,2,0,0,0,2,0,0,13,50,4,0,0,0,26,0,0,0,0,0,0,0,1,2
2,בית חורון,3575,816,673,0,673,13,10,0,0,0,0,2,312,0,0,0,0,0,0,0,49,16,206,2,0,0,0,39,0,0,0,0,0,0,0,0,24
2,בית נקופה,672,474,368,0,368,27,2,1,0,0,0,18,15,0,0,0,0,0,0,0,5,16,91,42,1,0,0,132,0,0,0,0,0,0,0,0,18
2,בית שמש,2610,34259,22689,146,22543,265,8749,5,5,1,0,12,1966,0,10,1,2,1,0,9,824,695,4142,59,7,0,0,1129,3,23,1,4,4,2,1,4,4619
2,ביתר עילית,3780,15549,12782,81,12701,4,8055,1,2,0,0,0,127,0,2,0,0,0,0,0,491,5,365,4,0,0,0,14,0,0,0,0,0,0,0,0,3631
2,בת עין,3794,431,298,2,296,0,11,0,0,0,0,0,119,0,3,0,0,0,0,0,88,1,56,1,0,0,0,1,0,0,0,0,0,0,0,0,16
2,גבע בנימין,3763,2436,1823,5,1818,32,39,1,1,0,0,2,191,0,2,0,0,1,0,0,179,70,785,7,0,0,0,140,0,1,0,0,0,1,0,1,365
